max -7.21x + 3.78y + -1.01z
-6.03x + 9.71y + -1.36z <= 469.65
-2.12x + 1.47y + -0.53z <= 855.66
5.84x + 6.51y + 4.97z <= 125.02
-9.44x + 2.31y + 6.72z <= 221.26
-2.38x + 2.8y + -4.49z <= 216.48
-7.68x + 5.25y + -9.92z <= 583.92
4.51x + 0.55y + 7.19z <= 206.29
9.28x + 6.16y + -5.1z <= 954.58
2.21x + 8.57y + -4.35z <= 360.37
5.36x + -2.19y + -9.25z <= 638.24
3.59x + 0.5y + 8.68z <= 321.49
0.94x + 3.93y + -0.15z <= 771.32
6.31x + -2.38y + -8.19z <= 803.25
8.13x + -2.1y + 8.24z <= 325.93
-9.81x + 9.04y + -1.39z <= 922.66
3.17x + 8.87y + 5.34z <= 874.56
4.39x + 3.09y + -0.35z <= 867.69
4.65x + 2.26y + 2.24z <= 619.12
-5.82x + -4.06y + 9.0z <= 812.59
-1.04x + -1.26y + 2.41z <= 621.33
-1.95x + -7.77y + -7.37z <= 946.57
3.7x + 3.06y + 9.75z <= 242.45
9.82x + -9.66y + -0.69z <= 494.02
-8.62x + -7.17y + 0.67z <= 353.82
7.52x + 9.54y + -6.42z <= 212.63
1.88x + -1.61y + -9.38z <= 978.4
-6.25x + -2.06y + -5.0z <= 620.17
4.32x + 1.75y + 7.86z <= 781.48
-9.34x + -6.79y + -4.08z <= 170.95
2.89x + -4.66y + 7.4z <= 930.78
-9.11x + -0.38y + -8.53z <= 633.33
5.13x + 0.26y + 2.11z <= 131.53
5.04x + 7.14y + -6.8z <= 220.39
-3.87x + -5.96y + -6.91z <= 206.18
-0.51x + 7.52y + 9.38z <= 684.53
-2.45x + 8.75y + -7.78z <= 741.98
-4.66x + -6.34y + 5.43z <= 952.08
6.72x + 0.27y + -5.75z <= 224.24
-1.85x + -7.31y + 7.11z <= 817.97
8.2x + -5.02y + 2.28z <= 826.74
-4.21x + 4.3y + -3.57z <= 523.0
9.99x + -8.81y + -9.56z <= 580.22
-5.63x + 2.26y + -8.7z <= 651.09
-9.38x + 5.32y + 9.24z <= 355.52
-7.28x + -5.73y + -5.52z <= 168.57
-7.38x + -9.72y + -0.75z <= 599.28
-1.42x + -1.69y + -3.9z <= 446.96
-6.35x + 7.7y + -0.87z <= 488.29
8.21x + 5.27y + 9.33z <= 887.77
3.17x + 7.95y + 0.13z <= 868.16
0.38x + 9.58y + 7.43z <= 985.54
2.99x + -5.16y + -5.08z <= 451.07
8.26x + -7.32y + -0.99z <= 151.0
2.59x + -4.64y + 9.39z <= 374.29
-7.84x + -1.0y + -0.41z <= 673.24
-3.14x + -6.68y + 3.92z <= 877.18
-0.09x + -3.01y + 4.26z <= 824.68
-7.47x + 6.76y + 9.74z <= 673.83
-2.5x + -2.4y + 4.5z <= 338.02
-9.86x + 7.78y + -5.03z <= 949.75
7.87x + -3.34y + 8.13z <= 477.0
2.36x + -6.2y + -2.23z <= 426.89
9.51x + -1.42y + 1.31z <= 596.64
-4.99x + 7.73y + 0.18z <= 235.05
4.23x + 5.01y + 7.07z <= 404.65
9.95x + 1.32y + -2.86z <= 439.32
-2.8x + 7.83y + 3.57z <= 927.91
1.56x + 8.32y + -0.12z <= 638.13
2.12x + -7.05y + -8.24z <= 376.74
9.59x + 0.41y + -3.1z <= 981.73
-1.63x + 9.3y + 4.66z <= 835.9
6.57x + -7.02y + -7.37z <= 354.23
9.33x + 0.86y + -0.51z <= 451.2
3.14x + -1.52y + 2.32z <= 257.63
2.19x + 3.68y + -6.52z <= 498.76
6.34x + 2.17y + -8.4z <= 510.68
1.61x + -7.85y + 1.58z <= 248.32
-1.37x + -2.13y + 3.62z <= 280.17
-0.7x + -8.02y + -0.26z <= 267.66
4.63x + -1.69y + 0.12z <= 366.3
-3.02x + -5.73y + -4.85z <= 435.99
6.18x + 5.12y + -3.7z <= 949.01
-1.16x + -8.47y + -0.6z <= 798.78
1.09x + 6.11y + 6.7z <= 251.73
-1.7x + -7.96y + 3.46z <= 605.65
7.88x + 8.75y + -6.87z <= 986.74
2.23x + 3.69y + -1.55z <= 305.83
0.4x + -1.82y + 5.41z <= 168.63
-1.12x + -9.64y + -7.86z <= 938.14
-9.34x + 0.82y + 7.36z <= 418.09
9.41x + 1.82y + -9.27z <= 407.74
1.03x + 2.29y + 0.19z <= 177.86
8.32x + 4.46y + 2.38z <= 439.73
9.83x + -2.52y + -3.92z <= 318.18
-1.08x + -7.1y + 8.02z <= 358.61
-4.09x + 3.65y + -9.71z <= 240.48
-4.35x + 9.29y + -3.66z <= 140.66
8.63x + 0.66y + 4.12z <= 550.83
4.2x + -3.28y + -6.56z <= 807.16
-4.35x + 9.57y + 1.63z <= 824.88
8.63x + 5.3y + 0.25z <= 535.47
-8.99x + 3.59y + -3.82z <= 491.95
-4.18x + 5.58y + -0.61z <= 661.66
3.89x + 3.3y + 6.36z <= 245.02
8.08x + 8.32y + 0.92z <= 357.76
2.04x + -2.58y + -5.86z <= 167.74
-5.9x + -5.56y + 1.48z <= 705.25
-10.0x + 5.43y + -5.0z <= 954.56
-7.24x + -4.72y + -2.55z <= 720.45
0.4x + -8.66y + 4.9z <= 649.09
0.62x + 0.47y + -0.76z <= 494.34
4.8x + 5.51y + -9.53z <= 927.23
-4.11x + -9.61y + -0.75z <= 229.58
-3.67x + -6.22y + 6.99z <= 835.55
7.98x + 3.84y + -3.83z <= 698.33
0.34x + -8.23y + -0.69z <= 696.4
-8.43x + 0.4y + 4.68z <= 820.85
-8.65x + 0.52y + -8.39z <= 934.87
4.03x + -0.78y + -5.48z <= 725.8
-9.81x + 0.3y + 9.13z <= 181.58
-9.62x + -8.8y + 3.49z <= 814.35
-0.18x + -9.33y + -0.62z <= 843.68
-8.2x + 3.92y + -7.16z <= 243.82
5.1x + 1.55y + 9.17z <= 792.62
4.71x + 1.36y + -0.06z <= 674.96
-9.08x + -0.24y + -9.94z <= 207.55
-8.46x + -2.13y + 9.74z <= 188.4
9.87x + -0.65y + 3.83z <= 884.7
2.55x + -8.51y + 7.43z <= 321.7
-4.06x + 8.34y + -3.47z <= 856.91
-2.57x + 9.44y + 0.73z <= 658.63
1.0x + -9.86y + 3.49z <= 535.74
-8.23x + 2.13y + 3.9z <= 648.39
-6.73x + -9.94y + 1.81z <= 343.56
-4.47x + 9.82y + -6.46z <= 534.21
0.68x + -9.63y + 4.2z <= 651.97
7.66x + -1.17y + 9.24z <= 972.25
5.26x + -2.82y + -6.71z <= 814.75
6.28x + -9.96y + -3.12z <= 367.58
-4.87x + -6.26y + 4.55z <= 192.33
4.57x + 0.42y + -8.75z <= 605.88
5.55x + -3.17y + 8.98z <= 552.25
3.52x + 9.68y + 3.39z <= 518.22
-0.92x + -3.78y + -7.72z <= 456.19
7.42x + -4.16y + 2.67z <= 396.53
8.81x + -5.63y + 9.53z <= 975.22
4.44x + -3.67y + 0.59z <= 630.34
-9.86x + -6.37y + 8.74z <= 469.61
-8.33x + -0.91y + 8.39z <= 257.19
-4.48x + -5.66y + -6.51z <= 317.04
3.45x + 4.07y + -9.92z <= 290.98
-2.34x + 9.45y + 3.87z <= 488.59
-9.78x + 0.45y + 4.87z <= 218.61
-9.66x + -0.72y + 4.3z <= 388.35
-9.82x + -4.13y + 1.73z <= 580.18
8.6x + 0.87y + -6.16z <= 447.26
-5.37x + -3.88y + 2.11z <= 129.26
7.62x + -9.02y + 8.91z <= 474.52
-2.07x + 9.06y + 6.31z <= 912.47
5.11x + -7.74y + -1.35z <= 924.77
-6.59x + -0.17y + 2.63z <= 280.81
-6.66x + 3.85y + 8.72z <= 508.71
7.24x + -5.9y + -8.92z <= 490.39
-9.04x + -4.46y + 2.02z <= 815.12
-4.81x + -3.14y + -5.23z <= 102.09
0.71x + -1.54y + 3.67z <= 555.62
3.35x + 0.69y + 2.21z <= 264.31
-8.17x + -7.28y + -0.4z <= 955.38
4.1x + 0.64y + -8.53z <= 629.91
-0.07x + -7.86y + -7.71z <= 138.18
-5.5x + -5.79y + -9.66z <= 991.48
-8.74x + 1.11y + -4.52z <= 246.37
8.99x + 0.32y + 5.06z <= 822.46
-4.41x + -3.67y + 0.02z <= 861.4
0.06x + -3.13y + 9.74z <= 750.4
-9.33x + 6.74y + 1.26z <= 754.69
-7.0x + -3.33y + -8.63z <= 848.27
0.87x + 6.29y + -7.53z <= 436.01
9.87x + -4.48y + -1.95z <= 959.8
1.81x + 1.88y + 7.1z <= 863.53
-8.02x + -5.13y + 4.73z <= 725.57
2.89x + -0.4y + 5.48z <= 877.89
-7.08x + 0.15y + -3.69z <= 897.11
-8.08x + 6.71y + 5.72z <= 798.64
2.69x + -8.78y + -9.63z <= 759.94
-2.18x + 4.94y + 0.17z <= 554.08
-3.96x + -5.79y + -6.15z <= 839.43
9.32x + 7.95y + -8.79z <= 522.19
9.22x + 1.55y + -9.21z <= 834.89
-9.11x + 6.29y + -8.29z <= 800.72
9.7x + -0.15y + 5.21z <= 540.13
4.32x + 9.55y + -2.38z <= 405.48
4.86x + -2.04y + -3.03z <= 809.09
-6.0x + 3.13y + -2.61z <= 871.34
-2.59x + 9.03y + -1.48z <= 440.55
6.22x + -8.64y + 0.74z <= 352.85
-4.63x + 0.55y + 3.89z <= 477.24
3.41x + 1.48y + -3.77z <= 237.63
-7.5x + 7.33y + -5.25z <= 658.03
-0.41x + 2.84y + 7.07z <= 856.01
-9.23x + 0.61y + -3.44z <= 944.19
8.81x + -1.09y + -5.44z <= 502.78
-9.41x + 4.74y + -5.24z <= 568.9
-5.93x + 6.58y + -2.01z <= 423.22
-2.06x + -7.47y + -7.7z <= 362.86
5.93x + -7.75y + -3.02z <= 251.11
9.65x + 0.63y + -5.89z <= 557.48
0.73x + 5.07y + -1.93z <= 466.85
8.68x + -2.87y + -9.77z <= 621.13
0.72x + 3.31y + -6.01z <= 456.91
-1.57x + -3.38y + 2.06z <= 563.23
0.96x + -3.47y + 7.68z <= 477.35
-3.51x + -1.8y + -1.23z <= 209.65
7.43x + 9.55y + -1.23z <= 290.53
1.17x + 3.0y + -8.86z <= 111.0
2.04x + -1.56y + 0.41z <= 668.81
-2.5x + -9.18y + -1.49z <= 577.84
4.83x + -2.99y + -1.53z <= 362.67
-1.53x + 1.23y + -7.82z <= 677.79
5.49x + -7.91y + -7.01z <= 596.05
0.79x + -5.42y + 7.63z <= 131.51
-4.11x + 2.97y + 2.61z <= 722.03
-1.46x + 9.38y + 6.49z <= 237.44
7.28x + -9.88y + -2.5z <= 161.01
-1.87x + -4.85y + -1.08z <= 325.74
-6.69x + 3.63y + 7.89z <= 263.51
5.95x + -2.67y + 3.54z <= 876.48
0.26x + -0.88y + -6.3z <= 629.16
2.27x + -1.35y + -1.43z <= 851.3
2.74x + 6.41y + 8.11z <= 642.26
-6.99x + 4.8y + -0.71z <= 337.11
-0.48x + 8.65y + -5.17z <= 788.61
-5.71x + -8.59y + -2.34z <= 497.47
-6.99x + -8.01y + 3.82z <= 768.52
9.09x + 6.19y + -8.96z <= 310.01
8.18x + 0.03y + -5.97z <= 391.76
-6.61x + 9.28y + -9.16z <= 961.78
-8.74x + -2.04y + -1.26z <= 801.89
-1.76x + 2.6y + -2.06z <= 789.61
-6.94x + 6.24y + -1.34z <= 332.51
-9.93x + -0.35y + 9.15z <= 266.09
0.08x + 8.51y + -7.73z <= 420.71
6.54x + -2.79y + -5.14z <= 391.34
-9.03x + -6.26y + 6.75z <= 796.61
-5.84x + 1.23y + -3.37z <= 912.4
-7.06x + 1.31y + 1.22z <= 881.62
6.36x + 6.89y + 9.98z <= 255.84
-7.5x + 1.75y + 1.26z <= 440.0
5.71x + -2.74y + -2.72z <= 914.46
-3.87x + 7.88y + 0.37z <= 864.47
2.04x + 1.22y + -7.41z <= 933.55
-8.36x + 1.4y + -3.66z <= 730.18
3.49x + 1.56y + 8.41z <= 347.27
-2.45x + 9.32y + -6.99z <= 267.22
-3.17x + -8.44y + -2.99z <= 406.39
5.45x + 2.76y + 9.52z <= 244.04
-1.97x + 9.4y + -3.83z <= 840.04
-0.37x + -9.72y + -3.57z <= 315.03
9.45x + 5.9y + 6.17z <= 208.75
7.06x + -8.12y + -9.18z <= 665.56
-4.93x + 7.82y + 0.54z <= 873.94
-1.16x + 8.7y + -2.62z <= 952.94
-1.34x + 2.48y + -4.29z <= 446.04
5.63x + -7.38y + 3.45z <= 433.61
-6.42x + 7.89y + 6.37z <= 503.88
-1.27x + 6.28y + -8.07z <= 821.53
3.61x + 6.22y + -2.98z <= 387.39
-9.16x + -7.46y + -0.07z <= 144.2
-2.57x + -0.8y + 6.93z <= 420.96
3.93x + -3.53y + -6.32z <= 398.82
9.31x + 4.76y + 2.99z <= 686.83
5.87x + -3.84y + 6.14z <= 274.57
4.36x + 8.55y + -1.89z <= 570.86
6.71x + 9.36y + -3.22z <= 143.86
-3.44x + -8.41y + 9.34z <= 983.87
4.27x + 6.8y + -7.4z <= 574.96
3.88x + -9.5y + -1.09z <= 653.48
1.1x + -2.35y + -3.1z <= 253.27
-6.09x + 5.91y + -1.01z <= 354.37
4.06x + -9.03y + 8.48z <= 663.2
0.77x + 4.34y + -4.91z <= 190.79
7.07x + 8.66y + 5.16z <= 210.6
-3.83x + -2.46y + 0.71z <= 620.36
-5.55x + 4.13y + 5.77z <= 962.62
-2.38x + -8.0y + 6.92z <= 764.83
-4.89x + -8.56y + -5.18z <= 429.68
-9.51x + 2.23y + 1.5z <= 333.43
2.53x + 5.44y + -5.41z <= 720.16
2.45x + -8.6y + 2.13z <= 763.72
-3.5x + 3.34y + -4.05z <= 160.73
8.45x + -8.79y + -7.71z <= 474.26
-5.54x + -3.07y + 3.73z <= 494.67
-4.29x + -4.07y + -5.01z <= 380.54
8.6x + 0.01y + -0.55z <= 764.56
-1.07x + -1.52y + 7.97z <= 238.4
8.29x + 6.11y + 3.54z <= 677.1
-9.64x + 6.98y + -8.93z <= 296.04
-7.94x + -8.21y + -8.52z <= 240.82
8.37x + 5.32y + -9.19z <= 216.88
-5.31x + -0.27y + 0.2z <= 428.92
2.75x + -7.53y + -3.26z <= 545.22
6.56x + -7.53y + -7.97z <= 631.65
5.43x + -8.34y + 6.27z <= 118.0
-9.46x + 1.43y + -7.15z <= 146.48
-8.64x + -8.23y + -1.58z <= 343.85
-1.91x + 5.6y + -9.35z <= 832.43
7.42x + 6.72y + -9.63z <= 752.84
4.58x + 7.72y + -1.6z <= 151.58
-5.88x + 9.04y + 5.2z <= 316.47
-8.63x + 0.51y + 3.97z <= 797.27
-0.64x + 3.79y + 2.01z <= 858.01
-0.44x + -5.82y + -9.04z <= 821.25
1.93x + -8.44y + -4.53z <= 651.81
-5.14x + 5.33y + -3.35z <= 800.18
2.49x + -4.93y + -4.26z <= 926.22
-3.77x + 0.28y + 1.36z <= 363.34
-6.47x + 3.36y + -4.37z <= 630.05
-0.09x + 9.61y + 0.08z <= 704.49
7.48x + -1.19y + -5.14z <= 873.86
-7.87x + -1.63y + -7.53z <= 334.65
-3.8x + -7.89y + 5.86z <= 657.57
-3.36x + 2.32y + 4.39z <= 266.23
-1.8x + 9.29y + -3.63z <= 838.18
-7.76x + 6.79y + -3.44z <= 439.65
3.52x + 5.85y + -4.87z <= 850.73
2.71x + -4.35y + -1.92z <= 348.2
-5.47x + -0.43y + -2.39z <= 746.9
-6.04x + -9.25y + -8.22z <= 179.56
-8.76x + 2.67y + 6.82z <= 116.56
-6.18x + -2.81y + 7.52z <= 571.81
8.48x + 4.6y + 7.07z <= 586.48
7.14x + -2.2y + -6.68z <= 634.68
-3.53x + 9.23y + 4.08z <= 922.24
3.61x + -8.49y + 5.29z <= 768.66
-5.11x + 7.99y + 3.86z <= 527.46
7.67x + 6.35y + -1.54z <= 613.23
-4.12x + -9.66y + 3.48z <= 510.34
-7.79x + 1.22y + 9.85z <= 916.46
-0.75x + 5.08y + 9.78z <= 127.13
3.17x + -1.94y + 6.51z <= 556.26
-5.21x + 6.05y + 3.45z <= 258.05
-4.93x + -6.58y + 7.79z <= 154.08
1.75x + 1.31y + -2.94z <= 420.16
3.0x + 5.75y + -2.81z <= 629.13
-8.97x + 2.86y + -5.93z <= 858.42
8.11x + 2.37y + 7.69z <= 626.65
1.66x + -8.88y + -2.33z <= 803.66
-7.84x + 9.86y + -7.3z <= 113.98
-8.5x + -3.5y + -2.82z <= 550.21
-0.33x + -9.67y + -3.52z <= 937.98
-1.92x + -6.44y + -3.45z <= 514.17
5.89x + 3.24y + -0.08z <= 214.08
0.35x + -8.92y + -2.4z <= 187.87
-1.29x + -4.88y + -1.15z <= 389.96
7.11x + 9.42y + 2.92z <= 861.93
-2.77x + -7.02y + -5.04z <= 294.29
-9.67x + 3.53y + -2.56z <= 924.15
-6.26x + 5.81y + -5.97z <= 404.57
1.61x + -8.4y + -1.63z <= 461.03
8.92x + -5.21y + -1.44z <= 380.04
-5.98x + -9.92y + 5.66z <= 577.72
-1.67x + -3.13y + 2.91z <= 641.95
1.5x + 5.7y + -9.78z <= 218.87
-3.06x + 9.38y + -0.97z <= 621.72
-0.28x + 0.32y + 1.49z <= 194.83
0.31x + -3.39y + -7.13z <= 493.8
-4.53x + 8.88y + -1.33z <= 130.4
7.16x + -2.04y + -5.22z <= 748.29
-2.91x + -5.75y + 8.07z <= 701.58
-2.1x + 6.39y + -1.42z <= 635.68
9.69x + -9.49y + 7.08z <= 863.49
0.56x + 5.37y + -0.11z <= 691.77
-4.98x + 0.4y + 4.98z <= 959.4
7.95x + 9.59y + 6.85z <= 549.35
-0.1x + -8.82y + 7.18z <= 669.31
6.68x + -2.88y + 2.01z <= 817.59
-6.62x + 8.73y + 9.45z <= 882.19
8.31x + -9.58y + -5.43z <= 648.37
-9.81x + 6.18y + -7.91z <= 652.61
-8.05x + 6.19y + -1.2z <= 140.41
-8.9x + 0.31y + -1.96z <= 242.33
-9.47x + 0.17y + -6.26z <= 699.54
-7.89x + -7.5y + -6.65z <= 450.56
3.17x + 4.72y + 3.73z <= 610.16
2.58x + -3.33y + -2.42z <= 891.36
2.56x + -8.8y + 0.23z <= 114.19
8.24x + -6.87y + -9.88z <= 258.08
-6.52x + -7.56y + 8.71z <= 822.84
-0.75x + 7.79y + 1.45z <= 420.75
0.93x + 5.85y + -6.71z <= 394.49
6.08x + -9.29y + 4.61z <= 610.6
-6.63x + 5.75y + -2.84z <= 663.96
-2.66x + 4.62y + -5.04z <= 578.42
-7.93x + 4.81y + 5.79z <= 964.4
5.41x + 5.02y + 5.91z <= 808.06
-5.24x + 5.45y + 1.89z <= 980.87
-0.15x + 5.82y + 7.81z <= 577.17
-3.47x + 7.92y + -8.23z <= 677.87
2.28x + -1.52y + 2.91z <= 722.65
7.03x + -7.61y + -5.71z <= 442.42
-4.76x + 6.98y + 7.94z <= 913.28
-9.18x + -6.65y + -0.63z <= 575.45
3.31x + -6.99y + 3.7z <= 705.24
9.26x + -8.53y + 7.64z <= 357.8
2.0x + -8.33y + 9.67z <= 896.95
1.88x + -5.15y + -6.96z <= 515.97
-9.16x + -7.67y + -8.03z <= 143.72
-5.29x + 0.84y + -2.25z <= 215.01
4.89x + 0.4y + 3.28z <= 483.32
-5.14x + -8.74y + 1.7z <= 911.29
-6.67x + 0.31y + -3.91z <= 757.69
-1.17x + 6.67y + 6.74z <= 277.6
-1.37x + -9.61y + 7.83z <= 568.23
3.93x + -1.0y + 0.71z <= 470.43
-6.41x + 2.1y + -1.47z <= 997.05
8.97x + 7.44y + -9.03z <= 254.98
-3.61x + -6.03y + 7.25z <= 352.47
6.41x + 2.06y + 4.44z <= 356.52
3.84x + 7.01y + -3.93z <= 262.41
-5.17x + 9.88y + 1.97z <= 264.67
5.65x + 2.46y + -5.21z <= 484.14
-8.76x + -3.72y + -0.52z <= 743.17
-4.56x + 2.51y + -6.96z <= 278.64
1.59x + -7.95y + -1.85z <= 227.4
4.63x + -5.47y + 6.62z <= 105.57
-6.07x + -1.29y + -5.51z <= 816.21
4.05x + 2.41y + -8.3z <= 589.28
1.77x + -3.43y + -1.96z <= 102.33
6.44x + 6.76y + 0.94z <= 380.75
0.99x + -3.49y + -7.23z <= 456.11
7.69x + -3.53y + 9.99z <= 641.01
5.0x + -9.14y + -0.95z <= 705.88
-5.96x + -4.06y + -4.51z <= 950.55
9.58x + -4.28y + 6.58z <= 541.03
1.22x + 6.17y + -8.99z <= 415.91
1.49x + 0.25y + 4.41z <= 899.29
0.53x + -4.85y + -7.86z <= 938.87
6.1x + -7.66y + -3.07z <= 112.83
-0.13x + -1.48y + 9.57z <= 458.78
-9.51x + -6.97y + -3.81z <= 874.55
-1.38x + 7.84y + 1.61z <= 215.9
6.27x + 5.37y + -3.69z <= 491.76
-4.86x + 9.48y + 7.9z <= 244.39
3.46x + -2.97y + -4.54z <= 237.86
-5.41x + -8.78y + 1.67z <= 712.25
8.26x + -6.05y + 4.7z <= 944.7
5.91x + -3.3y + 6.47z <= 127.95
4.05x + 2.34y + 2.07z <= 940.26
9.26x + 9.76y + -7.21z <= 809.33
-8.4x + 6.31y + 7.39z <= 783.12
7.2x + 2.84y + 8.62z <= 316.94
4.42x + -5.01y + -1.71z <= 558.78
9.58x + -9.39y + -5.73z <= 316.44
-4.77x + 2.25y + 3.19z <= 471.58
1.38x + 7.71y + 6.57z <= 467.28
6.49x + -9.52y + 7.79z <= 169.47
6.68x + 5.85y + 3.53z <= 462.17
3.92x + -3.32y + 7.35z <= 160.81
5.94x + -0.15y + 9.56z <= 239.66
9.02x + -7.63y + 9.73z <= 227.48
9.32x + 3.97y + 3.56z <= 625.63
-8.37x + -4.77y + -6.64z <= 816.93
-1.45x + -7.14y + 7.06z <= 812.38
6.22x + -2.62y + 6.26z <= 131.9
3.02x + 3.25y + -1.35z <= 603.54
-4.27x + -8.28y + 8.0z <= 492.95
-7.85x + 3.32y + -0.24z <= 753.16
1.26x + -2.88y + 9.58z <= 794.82
-6.24x + -3.34y + -6.22z <= 168.11
2.66x + -2.54y + -5.58z <= 698.07
6.9x + -1.66y + 8.97z <= 276.17
3.35x + 4.96y + -7.04z <= 160.25
-0.48x + -7.41y + -7.3z <= 722.23
-0.94x + 3.41y + 5.4z <= 402.89
-3.22x + -7.7y + 0.96z <= 660.18
-0.74x + -7.06y + 2.81z <= 453.66
8.56x + 4.04y + -1.94z <= 477.15
-8.12x + 6.91y + -0.35z <= 981.77
3.8x + -1.49y + 9.98z <= 700.25
6.99x + -7.15y + 4.88z <= 739.73
-4.83x + 9.11y + 2.13z <= 566.25
8.21x + -4.13y + 7.61z <= 369.45
-8.14x + -9.98y + -3.48z <= 650.66
0.25x + 6.35y + 5.61z <= 784.71
-2.73x + -9.19y + 6.48z <= 505.69
-1.03x + 7.05y + 0.8z <= 793.77
-4.71x + 7.37y + 7.69z <= 426.97
9.31x + -7.26y + -5.87z <= 341.74
-7.3x + -1.14y + 2.4z <= 680.16
0.42x + 1.69y + -3.42z <= 103.48
-0.86x + 2.47y + 3.28z <= 120.47
-4.87x + -0.68y + 0.88z <= 980.09
-6.29x + 3.14y + 9.61z <= 830.77
2.88x + -1.16y + 4.17z <= 774.68
-8.51x + -1.16y + 8.4z <= 883.73
-1.87x + 6.24y + 1.1z <= 852.4
-8.94x + -6.7y + -2.87z <= 705.74
5.82x + 2.32y + -1.69z <= 992.32
-2.19x + -9.77y + 6.75z <= 132.36
6.42x + -4.28y + -6.04z <= 420.47
6.29x + 7.56y + -8.04z <= 977.8
1.73x + 2.09y + 5.02z <= 818.29
-6.15x + 7.52y + 7.56z <= 500.48
9.96x + -5.72y + -2.83z <= 408.72
5.95x + 8.29y + -4.49z <= 831.91
5.78x + -4.72y + -0.75z <= 706.05
-6.55x + -2.79y + 5.53z <= 225.78
-8.02x + -7.03y + -0.01z <= 683.89
-7.15x + 5.03y + 2.48z <= 522.76
6.05x + -1.41y + -2.13z <= 921.58
-4.01x + -3.59y + -4.23z <= 578.41
-1.14x + -5.33y + -2.31z <= 248.81
4.61x + -8.11y + 4.78z <= 105.59
-8.53x + -1.04y + -9.48z <= 126.35
2.45x + -3.82y + 1.03z <= 586.24
1.77x + -3.36y + -4.08z <= 521.13
6.37x + -0.21y + 1.28z <= 212.64
-8.17x + -2.15y + -2.96z <= 256.75
-4.15x + -5.26y + -3.37z <= 795.25
7.16x + 7.92y + -4.03z <= 738.85
8.29x + -8.53y + 1.11z <= 197.41
3.65x + 9.79y + -6.03z <= 632.54
-4.95x + 6.77y + 3.18z <= 933.0
-6.94x + -6.84y + 2.39z <= 374.42
-3.9x + 8.18y + -2.64z <= 706.23
2.75x + 4.93y + 6.56z <= 537.67
-6.73x + 6.14y + -0.92z <= 744.84
4.48x + -2.7y + -4.89z <= 482.54
0.87x + -9.73y + -6.25z <= 834.68
-9.71x + -7.09y + 2.44z <= 139.33
-5.7x + 1.49y + 8.31z <= 927.35
-6.09x + -8.99y + -5.94z <= 562.19
4.63x + 7.64y + -3.88z <= 188.08
4.42x + -5.04y + -1.37z <= 916.86
9.57x + 0.67y + -1.31z <= 301.79
3.12x + 4.8y + -4.14z <= 927.02
0.36x + -0.62y + -0.05z <= 486.17
0.48x + 1.83y + 2.88z <= 714.15
2.39x + 5.47y + -7.71z <= 563.09
-8.11x + -8.36y + 6.33z <= 718.59
2.63x + 7.13y + 9.8z <= 473.92
1.24x + 3.85y + 2.2z <= 865.23
3.44x + -3.97y + 0.94z <= 415.15
4.15x + 1.46y + 9.33z <= 501.59
0.96x + -5.11y + -8.63z <= 877.01
-8.47x + -8.15y + 1.86z <= 509.86
8.35x + -8.48y + 3.66z <= 115.12
7.78x + 1.19y + 5.25z <= 841.21
-5.7x + 8.46y + 4.2z <= 322.98
7.17x + -2.17y + 6.91z <= 244.02
0.89x + 8.48y + 7.98z <= 699.47
-2.55x + -4.31y + -1.77z <= 814.16
2.36x + -2.21y + -3.02z <= 208.35
-2.61x + -9.93y + -1.5z <= 396.11
-9.94x + 6.85y + -9.84z <= 265.45
-4.73x + 5.26y + 6.02z <= 987.84
7.51x + 4.03y + -3.79z <= 509.58
6.98x + -8.0y + 3.48z <= 266.39
-7.41x + 2.63y + 1.39z <= 698.24
8.02x + -8.47y + 6.71z <= 872.95
-3.03x + -2.91y + 8.44z <= 899.31
2.22x + -2.86y + 0.98z <= 361.66
-5.09x + 2.52y + -0.19z <= 174.04
-8.15x + -3.75y + -0.95z <= 846.37
1.48x + -0.17y + 8.37z <= 769.97
-0.19x + -0.36y + 2.63z <= 399.17
-9.08x + -3.56y + 9.29z <= 822.38
-5.35x + 6.5y + -2.31z <= 372.51
-1.58x + 9.78y + 6.74z <= 267.93
-1.6x + -0.51y + -5.08z <= 246.59
-7.01x + 4.09y + 6.23z <= 211.12
-7.49x + 8.15y + -6.85z <= 980.22
-1.65x + 6.86y + 6.2z <= 219.57
0.71x + 1.07y + 6.12z <= 745.02
-5.03x + 5.43y + 8.92z <= 818.07
-9.55x + -2.65y + 9.66z <= 985.01
9.12x + -0.7y + 5.26z <= 166.59
4.59x + -9.17y + -8.55z <= 143.11
0.64x + -9.77y + -4.02z <= 629.41
3.45x + -8.04y + -3.41z <= 875.36
7.28x + -7.29y + -1.18z <= 659.76
4.83x + 2.73y + 2.03z <= 568.9
0.83x + -6.17y + -7.73z <= 309.61
9.43x + -8.93y + -1.5z <= 690.29
-7.45x + -9.93y + 6.39z <= 753.9
-6.02x + 3.48y + -2.32z <= 162.8
-9.54x + 3.45y + -2.32z <= 193.77
2.07x + -9.7y + 0.75z <= 195.18
-1.03x + 5.9y + 0.2z <= 500.05
-6.41x + 0.11y + 7.23z <= 931.71
-0.91x + 9.52y + -8.68z <= 680.68
-0.73x + 1.99y + -5.06z <= 107.53
2.68x + 5.73y + -0.04z <= 947.89
6.19x + 2.73y + -6.98z <= 639.69
