max -3.89x + 5.62y + 2.47z
-7.84x + -3.3y + 6.74z <= 550.77
-1.83x + -2.6y + 6.6z <= 278.03
-5.48x + -2.77y + -5.84z <= 735.71
-5.96x + -4.38y + -7.25z <= 348.44
3.27x + 0.45y + -9.58z <= 201.12
6.53x + 8.2y + -8.71z <= 552.46
-1.36x + -1.83y + 0.99z <= 840.68
-3.39x + -4.77y + -8.47z <= 109.0
-6.75x + -0.63y + 4.8z <= 595.39
7.29x + 3.87y + 7.38z <= 147.17
8.51x + 0.77y + 5.75z <= 692.56
-2.48x + -1.85y + 1.54z <= 276.65
9.24x + -2.13y + 1.1z <= 456.79
9.68x + 8.46y + -3.03z <= 642.97
8.43x + 8.25y + -9.62z <= 489.27
3.26x + -1.32y + -2.06z <= 921.37
-3.07x + -5.27y + 0.14z <= 867.22
-5.77x + -6.44y + 5.2z <= 835.4
4.41x + -5.9y + 6.88z <= 669.51
0.61x + -2.33y + 0.16z <= 560.97
-1.45x + 2.63y + 9.6z <= 400.84
-2.52x + 0.51y + -8.92z <= 492.85
-7.36x + 7.89y + -4.76z <= 172.85
-2.09x + 8.21y + 8.12z <= 786.6
6.07x + -2.81y + 6.11z <= 265.07
-9.52x + -3.04y + 0.26z <= 309.44
-5.24x + 8.48y + -0.12z <= 236.6
1.36x + -1.45y + 5.61z <= 610.4
-6.13x + -2.76y + -1.88z <= 100.4
-1.52x + -9.71y + 1.99z <= 833.35
-0.57x + -0.39y + 7.98z <= 721.1
-1.27x + 1.59y + -6.7z <= 730.69
5.78x + 3.73y + 7.48z <= 350.58
0.72x + 2.24y + 1.29z <= 516.03
-4.4x + -8.76y + -9.27z <= 478.95
0.66x + -8.18y + 7.72z <= 660.3
1.63x + 9.9y + 6.6z <= 205.85
-7.51x + -9.45y + -8.86z <= 168.57
9.5x + 1.13y + 3.48z <= 951.77
7.63x + -8.76y + 7.01z <= 102.64
-7.35x + 2.17y + 7.03z <= 122.14
0.05x + 1.07y + -3.32z <= 815.82
-4.55x + -4.75y + 3.48z <= 262.2
-7.95x + -1.68y + -3.94z <= 611.15
-1.22x + 0.8y + 8.96z <= 192.41
-7.84x + 8.81y + -5.93z <= 396.8
-0.65x + 4.81y + -3.77z <= 505.02
-5.92x + -4.93y + -2.77z <= 874.25
5.78x + 7.9y + -9.25z <= 876.56
6.49x + 1.95y + 8.25z <= 712.7
7.82x + 0.36y + 7.96z <= 421.16
7.16x + 2.81y + -1.51z <= 969.3
1.05x + -4.5y + 3.34z <= 175.4
-7.5x + 6.66y + 6.31z <= 233.47
-6.26x + 3.55y + 4.48z <= 979.08
-1.15x + -5.56y + 9.26z <= 519.07
-7.51x + 4.01y + 6.85z <= 540.22
2.29x + 8.89y + 3.98z <= 771.95
-9.08x + 7.71y + 7.2z <= 461.72
-9.63x + 6.5y + 2.3z <= 326.16
-0.68x + -8.84y + -1.39z <= 302.85
-7.66x + -2.29y + 7.85z <= 333.94
-8.33x + 7.41y + -7.89z <= 183.39
-1.48x + 4.24y + 0.84z <= 603.06
3.78x + -9.32y + 6.51z <= 963.35
3.42x + 5.69y + 8.42z <= 608.49
9.81x + 9.96y + 3.55z <= 430.01
1.42x + 8.8y + 1.58z <= 528.76
4.74x + 6.32y + -8.14z <= 499.65
1.46x + -1.61y + -0.08z <= 896.27
-3.36x + 0.36y + -2.39z <= 309.87
-8.35x + -5.79y + 5.79z <= 513.61
-0.62x + 5.36y + -1.52z <= 843.47
-5.82x + 8.47y + 2.41z <= 431.52
3.66x + 3.2y + 3.68z <= 523.15
-1.14x + 5.48y + 3.28z <= 449.61
4.56x + 7.79y + 8.28z <= 576.74
4.51x + -2.57y + -0.25z <= 560.59
1.82x + -0.11y + 7.7z <= 650.32
7.5x + -3.58y + 3.68z <= 647.33
9.76x + 3.16y + -8.6z <= 268.45
-3.49x + -1.83y + 1.3z <= 328.24
6.39x + 9.49y + -3.47z <= 251.95
-0.53x + -7.06y + -8.13z <= 517.65
4.84x + 9.43y + 2.47z <= 365.37
-7.66x + 7.49y + 1.97z <= 402.2
-2.05x + 9.3y + -3.96z <= 433.82
6.33x + -1.47y + -4.3z <= 867.6
1.06x + 6.05y + 4.07z <= 708.08
3.66x + -6.07y + 7.47z <= 766.18
-6.26x + -6.61y + -3.42z <= 857.53
9.07x + 3.14y + -9.74z <= 769.6
-2.34x + 6.35y + -7.1z <= 300.19
-7.64x + 3.63y + -2.23z <= 551.51
-5.57x + 0.47y + 7.71z <= 475.61
3.85x + 6.44y + -1.76z <= 278.03
-8.87x + -1.4y + -8.76z <= 536.66
-0.24x + 3.83y + 8.1z <= 217.47
-8.24x + 3.07y + -4.21z <= 323.44
-6.83x + 8.19y + 3.89z <= 990.41
-0.89x + -6.49y + 8.96z <= 782.55
5.91x + 8.28y + 2.83z <= 815.8
3.71x + 3.41y + 3.74z <= 341.78
-7.62x + 7.06y + -7.17z <= 674.96
-2.91x + -1.94y + 7.56z <= 841.21
-0.77x + -3.22y + -9.58z <= 290.47
-8.91x + 7.24y + -8.43z <= 765.58
8.78x + -6.65y + 0.87z <= 457.63
0.1x + 7.72y + -9.49z <= 716.53
5.39x + 0.99y + -8.69z <= 108.95
8.21x + 1.47y + -6.31z <= 155.49
-5.58x + -2.17y + 9.99z <= 670.04
5.63x + 2.72y + -9.08z <= 470.19
-2.2x + -5.45y + 1.09z <= 139.01
-2.86x + 9.17y + -9.8z <= 966.83
-6.88x + -9.7y + 3.34z <= 768.61
-4.08x + -5.36y + 2.11z <= 733.52
-7.05x + 7.54y + -9.35z <= 618.84
-1.25x + -6.07y + 4.86z <= 311.2
7.38x + 1.03y + 4.39z <= 292.54
-7.01x + -6.9y + 6.35z <= 745.19
0.96x + 6.8y + 4.57z <= 910.59
-0.85x + 4.14y + -0.43z <= 554.88
2.75x + -8.52y + -0.04z <= 781.81
5.74x + -5.31y + -6.94z <= 981.61
8.64x + 3.13y + 0.71z <= 849.41
-2.48x + -4.5y + -7.36z <= 969.27
-4.91x + -9.59y + -3.83z <= 857.95
-9.97x + -6.99y + 6.6z <= 159.23
3.2x + -5.12y + 4.35z <= 645.07
-9.3x + -6.22y + -7.25z <= 535.11
4.68x + 3.45y + -6.51z <= 795.89
-3.76x + 3.48y + -0.77z <= 417.03
-0.48x + -9.16y + -1.39z <= 279.54
3.53x + -1.18y + 6.6z <= 610.8
0.77x + -8.57y + -2.37z <= 911.53
1.48x + 4.06y + 7.95z <= 763.2
3.99x + -0.92y + 6.8z <= 450.34
8.05x + -0.18y + -9.57z <= 792.44
2.32x + -2.4y + 8.63z <= 996.88
3.05x + -5.0y + -2.57z <= 309.53
5.26x + 9.47y + -7.94z <= 163.61
-4.62x + -0.76y + 5.73z <= 553.55
0.89x + -7.93y + 4.92z <= 898.8
8.07x + 4.87y + -1.04z <= 260.67
-3.35x + -3.44y + -1.61z <= 228.98
2.41x + -0.28y + -4.65z <= 681.42
-5.74x + 7.78y + 2.14z <= 932.78
-1.75x + 4.83y + 8.66z <= 778.82
0.31x + 8.64y + 3.0z <= 532.07
-8.13x + -3.08y + -6.32z <= 211.98
-0.34x + 4.46y + 3.54z <= 708.74
-3.09x + -1.16y + 5.7z <= 374.66
-0.34x + 3.37y + -9.82z <= 154.02
5.41x + -5.37y + -1.08z <= 165.78
-6.06x + -5.22y + -3.03z <= 380.24
-7.64x + -8.24y + -0.61z <= 334.13
9.71x + 8.05y + -3.38z <= 545.39
5.24x + -4.62y + -4.71z <= 357.83
-3.78x + -1.8y + 7.26z <= 547.28
6.74x + -5.33y + -4.19z <= 137.45
-7.35x + 3.09y + 4.27z <= 958.74
6.04x + 8.44y + -9.54z <= 878.8
8.95x + -8.38y + -0.97z <= 703.18
-6.07x + 3.06y + 7.51z <= 296.11
-0.85x + 2.94y + -8.73z <= 272.37
6.87x + -0.82y + -6.31z <= 465.03
-2.29x + 2.65y + 5.74z <= 812.51
-5.97x + -2.1y + -8.23z <= 895.04
-7.85x + -3.51y + -8.79z <= 574.26
5.9x + 9.91y + 9.89z <= 687.08
6.44x + -1.55y + -2.19z <= 538.47
-0.6x + -1.74y + -8.9z <= 121.01
-6.36x + -4.39y + -1.04z <= 720.83
-8.17x + -2.27y + -6.62z <= 953.37
0.12x + 5.82y + -8.69z <= 977.1
-3.39x + 5.47y + 6.42z <= 413.19
-8.45x + -6.76y + -9.63z <= 741.93
5.26x + 9.0y + 2.47z <= 803.66
1.69x + 5.92y + 1.67z <= 403.44
0.68x + 9.56y + -6.72z <= 704.79
0.25x + 7.82y + -1.8z <= 527.36
-9.53x + 3.71y + 8.81z <= 583.07
-9.72x + -1.25y + 8.56z <= 779.73
-7.45x + -9.22y + -0.2z <= 794.19
0.43x + -8.65y + -4.26z <= 149.27
-5.99x + -7.62y + -7.1z <= 992.77
-2.36x + 1.22y + -5.35z <= 424.22
-8.21x + -8.2y + 0.99z <= 374.92
-7.71x + -0.04y + -1.15z <= 921.25
4.37x + 7.3y + 1.46z <= 808.48
3.47x + 2.44y + 6.51z <= 993.09
0.29x + 4.89y + -3.91z <= 308.56
-5.74x + 2.64y + -3.01z <= 771.12
-9.53x + -1.77y + 4.35z <= 546.9
2.38x + -4.34y + -4.57z <= 196.38
-8.06x + 0.38y + -3.51z <= 924.13
7.25x + -9.94y + -6.26z <= 116.42
-2.41x + -3.06y + -6.67z <= 871.51
-4.97x + -1.34y + 9.28z <= 352.7
-3.04x + 4.58y + -6.74z <= 189.9
2.62x + 2.75y + -9.1z <= 520.98
1.35x + 4.09y + 2.36z <= 144.79
-4.91x + 3.82y + 2.42z <= 827.28
-6.44x + 5.49y + 2.57z <= 483.52
-2.73x + -0.1y + -7.43z <= 840.2
-7.11x + -1.63y + 5.6z <= 824.0
9.99x + 6.16y + -1.54z <= 570.19
1.62x + -2.59y + 5.48z <= 825.5
-0.82x + -5.71y + -9.09z <= 139.71
0.92x + -5.69y + -2.2z <= 384.53
9.53x + -8.12y + 1.69z <= 272.45
8.81x + 0.38y + 2.34z <= 320.67
-2.3x + 6.42y + -5.81z <= 607.42
-2.28x + 3.96y + -7.81z <= 951.42
-9.74x + -7.06y + 1.29z <= 324.89
2.69x + 9.91y + -4.62z <= 426.1
-0.24x + 6.94y + -0.59z <= 931.04
-3.86x + -2.15y + 8.68z <= 902.4
4.27x + 9.41y + 4.7z <= 907.16
-8.05x + -7.84y + -5.73z <= 620.61
1.49x + -5.44y + 3.77z <= 698.26
-4.28x + -7.4y + 5.54z <= 337.13
5.28x + 3.07y + 2.61z <= 928.7
0.96x + -7.36y + 5.4z <= 650.78
-1.15x + 3.95y + -8.82z <= 545.78
-5.98x + -6.76y + 9.06z <= 113.42
0.83x + 2.11y + 2.66z <= 337.09
2.39x + -4.54y + 5.39z <= 514.12
-9.17x + -2.06y + 7.23z <= 705.54
-0.17x + -0.08y + 8.26z <= 295.34
-2.46x + -6.35y + -7.91z <= 224.43
2.47x + -8.51y + -5.75z <= 770.0
1.58x + -6.55y + 1.25z <= 950.84
9.05x + -1.34y + -3.68z <= 711.96
-5.43x + 3.72y + 5.47z <= 801.88
-9.42x + -8.91y + 8.31z <= 771.15
6.61x + 0.5y + 4.37z <= 466.33
1.39x + 5.92y + 3.28z <= 136.03
1.1x + -9.06y + 7.38z <= 224.04
-8.65x + -6.2y + -0.36z <= 196.46
-0.1x + 7.89y + 5.75z <= 377.17
-2.52x + 6.65y + -8.36z <= 188.24
-5.64x + -2.13y + 8.4z <= 136.88
-7.97x + -7.76y + -1.22z <= 962.56
-9.07x + -9.48y + -7.56z <= 903.15
-1.87x + 1.53y + -5.93z <= 355.75
-3.41x + 0.35y + -2.17z <= 351.17
5.16x + -3.29y + 2.84z <= 466.62
2.35x + -0.53y + -9.84z <= 891.04
-9.4x + 0.71y + -7.94z <= 496.4
8.96x + 8.37y + 2.65z <= 162.92
7.83x + 9.99y + 8.07z <= 485.55
1.48x + 8.0y + 9.58z <= 443.39
-3.28x + 5.06y + -6.19z <= 285.93
-6.05x + -7.53y + -6.59z <= 310.88
-8.53x + -3.13y + 4.55z <= 488.69
-5.72x + 7.31y + -7.37z <= 955.22
7.42x + -7.01y + -5.11z <= 465.91
-8.39x + 6.2y + 6.18z <= 808.48
7.72x + 1.03y + -4.98z <= 517.07
0.38x + -9.24y + -0.95z <= 656.09
7.81x + 1.71y + 7.17z <= 397.47
7.35x + 1.79y + 0.36z <= 415.61
5.53x + -6.57y + 6.41z <= 614.02
2.88x + 1.57y + 1.4z <= 866.29
-9.05x + 0.99y + -1.82z <= 359.08
-2.89x + 4.96y + -5.86z <= 989.71
-2.53x + 4.68y + -9.52z <= 247.58
-9.15x + 2.23y + -8.24z <= 210.64
7.27x + -2.89y + -0.88z <= 484.57
-5.56x + 5.26y + 8.18z <= 824.41
6.0x + 1.6y + 2.82z <= 979.43
-0.57x + 5.84y + -2.31z <= 669.51
-2.39x + -5.59y + -3.88z <= 213.97
-3.25x + -3.94y + -4.31z <= 546.71
-3.0x + -5.77y + 1.3z <= 224.23
-5.78x + 2.4y + 8.8z <= 697.07
-6.03x + 3.82y + -5.43z <= 422.12
1.17x + 7.65y + 4.46z <= 703.2
-2.78x + -0.26y + 3.79z <= 481.87
6.77x + -6.39y + -5.64z <= 601.91
3.64x + 7.54y + 9.15z <= 811.49
6.89x + -1.19y + 4.99z <= 408.32
7.09x + 1.39y + -6.16z <= 911.18
-4.99x + -5.27y + -8.25z <= 931.6
-2.35x + 9.14y + -9.56z <= 315.16
5.88x + 2.65y + -7.49z <= 304.87
-2.21x + 7.64y + 9.29z <= 459.29
-1.87x + 2.12y + 8.4z <= 131.95
-5.68x + -5.42y + 6.76z <= 207.22
-1.1x + 9.42y + 4.55z <= 888.63
-1.31x + -5.14y + 8.1z <= 245.26
-9.08x + 3.32y + 5.71z <= 739.41
6.47x + 9.47y + 6.4z <= 707.12
5.8x + -4.62y + -1.12z <= 215.59
4.67x + 0.54y + -5.41z <= 951.0
-4.85x + -5.86y + 4.34z <= 572.68
-7.42x + -7.88y + -2.59z <= 917.82
-7.14x + -6.3y + -3.52z <= 158.69
3.25x + -0.6y + -8.03z <= 831.64
0.32x + 7.96y + -0.62z <= 646.21
-0.13x + -8.96y + 0.11z <= 159.56
-3.4x + -7.02y + -5.04z <= 167.77
-6.18x + 0.98y + -2.54z <= 959.92
-6.59x + -1.76y + -8.01z <= 787.04
7.23x + 9.47y + -4.41z <= 844.2
6.16x + 3.52y + 1.35z <= 261.59
-4.44x + 5.11y + -8.52z <= 846.93
-0.2x + -5.51y + 2.38z <= 153.78
1.8x + -4.14y + 8.65z <= 545.1
-5.27x + 1.74y + 2.34z <= 865.64
-2.89x + 0.45y + -8.98z <= 547.05
2.01x + -4.2y + 9.89z <= 749.4
1.6x + -6.06y + 5.52z <= 187.48
8.44x + 2.43y + -1.1z <= 734.01
-6.03x + -1.24y + -6.78z <= 118.58
-2.98x + -7.57y + -2.9z <= 407.78
-1.82x + 6.64y + -6.92z <= 903.63
-8.98x + 4.97y + -5.47z <= 578.07
-9.38x + 2.17y + 3.31z <= 143.99
1.82x + 6.99y + -5.2z <= 401.61
-9.93x + 0.09y + -4.73z <= 804.71
-5.95x + 7.26y + -7.5z <= 158.66
8.86x + 8.52y + -1.54z <= 960.07
2.54x + -3.99y + -0.1z <= 111.37
-4.64x + 0.21y + -6.12z <= 556.18
-8.48x + -7.16y + -5.26z <= 910.4
-5.77x + 2.07y + -7.23z <= 972.37
0.43x + 4.41y + -7.88z <= 369.27
9.78x + -8.06y + 7.41z <= 900.91
-7.85x + -7.23y + -6.31z <= 517.01
4.32x + -2.6y + -5.26z <= 950.24
-2.85x + -8.46y + -5.3z <= 985.44
-1.57x + 8.01y + -8.26z <= 293.15
-7.68x + -1.62y + 3.43z <= 494.24
4.67x + 0.41y + 4.85z <= 992.0
-2.65x + -5.18y + 3.04z <= 546.95
-7.22x + -5.41y + -7.69z <= 931.54
-9.17x + -8.37y + -5.23z <= 120.66
2.25x + -6.72y + 8.8z <= 673.25
6.53x + 1.52y + -3.87z <= 489.16
-7.69x + -1.27y + -3.55z <= 222.84
-8.34x + -3.17y + 1.61z <= 421.2
2.03x + 5.55y + 0.82z <= 591.31
-7.4x + -6.83y + 8.11z <= 304.25
4.99x + -7.77y + -1.73z <= 907.45
-6.54x + 8.28y + -0.92z <= 718.35
-3.17x + -6.44y + 3.21z <= 535.49
-0.48x + -3.48y + -3.63z <= 924.74
-1.46x + -6.36y + -5.96z <= 259.93
7.87x + 1.12y + 0.18z <= 982.17
-2.13x + 2.13y + 3.22z <= 381.23
-5.25x + 8.09y + 1.53z <= 552.82
-5.85x + -1.79y + 7.3z <= 155.72
-0.04x + -5.8y + 9.02z <= 417.27
-0.68x + -5.61y + -4.19z <= 398.51
2.52x + -4.46y + -6.47z <= 629.12
3.13x + 6.25y + -6.42z <= 255.13
2.51x + 6.71y + -2.52z <= 320.04
4.81x + -1.92y + 3.77z <= 707.56
8.36x + 2.33y + 4.59z <= 316.86
2.77x + -9.61y + 8.17z <= 872.56
0.8x + -9.44y + 3.33z <= 429.45
2.22x + 0.39y + -6.45z <= 777.04
-9.2x + 9.04y + 5.76z <= 333.57
-6.78x + -9.9y + -7.83z <= 907.24
-6.48x + -0.17y + 0.48z <= 592.72
5.91x + -9.08y + -7.58z <= 339.82
1.15x + 6.77y + 4.68z <= 936.81
8.21x + -5.18y + -7.64z <= 350.12
8.44x + 4.42y + 2.05z <= 670.31
-0.19x + -9.61y + -7.27z <= 717.57
9.93x + -0.2y + -7.95z <= 503.47
-7.3x + -9.52y + -9.07z <= 925.88
-3.9x + -3.7y + -0.46z <= 747.2
-0.64x + 6.8y + 9.02z <= 363.13
4.5x + 8.33y + -9.73z <= 688.62
0.83x + 8.9y + 9.91z <= 548.04
-3.51x + -0.66y + 0.04z <= 246.67
5.48x + -9.79y + 2.74z <= 223.7
-8.64x + -0.12y + 5.33z <= 208.3
-6.34x + -6.28y + 8.11z <= 882.09
8.93x + -5.25y + 9.72z <= 954.64
1.8x + -2.09y + 3.17z <= 599.4
3.47x + -8.68y + 2.75z <= 310.27
5.74x + 9.35y + -4.01z <= 869.99
-6.41x + 7.81y + -3.35z <= 846.23
-6.94x + 1.68y + -8.35z <= 555.25
-9.82x + 8.79y + -5.58z <= 277.96
-8.68x + 5.39y + -6.81z <= 336.0
-4.35x + -8.97y + 8.33z <= 100.26
-7.92x + 7.33y + -2.97z <= 882.54
-2.24x + 7.1y + 8.87z <= 857.27
-9.94x + -2.76y + 0.1z <= 128.61
-5.93x + -1.66y + 7.75z <= 193.72
5.23x + -1.75y + 7.74z <= 427.34
-9.63x + 4.89y + 8.73z <= 259.95
-6.79x + -4.0y + -0.67z <= 134.68
-9.73x + -3.56y + 6.11z <= 443.38
3.61x + -5.05y + -1.77z <= 281.87
-3.62x + -9.93y + -9.12z <= 560.01
-8.72x + -2.26y + 4.36z <= 188.39
1.93x + -5.17y + 5.76z <= 167.45
-6.31x + 5.27y + 6.53z <= 807.52
-0.54x + 5.84y + -2.43z <= 539.93
-2.92x + -3.06y + 8.74z <= 763.86
3.72x + 8.43y + 0.66z <= 135.13
-5.58x + -0.69y + 3.19z <= 325.82
-1.01x + -7.86y + -3.09z <= 151.24
3.32x + 8.26y + 3.6z <= 777.68
-6.34x + 5.18y + 8.29z <= 108.93
3.78x + 7.28y + -4.8z <= 636.48
-6.88x + 7.0y + -4.96z <= 253.36
5.52x + 2.8y + -2.18z <= 421.79
4.4x + 5.13y + 5.16z <= 822.08
8.19x + -8.93y + 1.75z <= 989.68
0.74x + 2.38y + -0.1z <= 322.83
-4.05x + -4.54y + -2.51z <= 641.39
9.74x + 8.68y + -4.46z <= 927.17
3.92x + 0.35y + -8.63z <= 773.57
5.52x + -4.13y + 3.02z <= 683.75
0.12x + 7.88y + 8.51z <= 630.86
-8.58x + 1.93y + 3.58z <= 144.86
7.66x + -1.75y + 0.69z <= 261.03
9.75x + 3.97y + -3.48z <= 129.69
-3.12x + 2.15y + -2.08z <= 816.24
4.59x + 9.98y + 0.04z <= 361.65
6.81x + 2.2y + -2.48z <= 284.95
3.67x + -2.72y + 1.58z <= 690.85
-6.86x + 9.5y + 1.11z <= 758.59
-0.34x + 5.91y + 1.87z <= 668.29
2.85x + 6.28y + 0.61z <= 920.1
5.13x + 3.9y + -9.83z <= 758.15
-8.2x + -6.59y + -2.3z <= 794.76
3.68x + 2.43y + -8.9z <= 286.5
1.64x + 7.6y + 7.87z <= 537.19
-8.51x + 1.01y + 2.97z <= 394.84
-3.22x + 4.24y + 4.65z <= 597.39
4.46x + 8.44y + -0.53z <= 382.33
-8.36x + -2.92y + 7.8z <= 324.58
-2.32x + 3.47y + -4.08z <= 489.51
3.72x + -6.11y + 4.0z <= 267.61
7.97x + -8.61y + -5.55z <= 111.89
3.23x + 4.28y + -1.3z <= 208.71
8.54x + 8.95y + -1.11z <= 539.23
3.22x + 4.76y + 2.29z <= 534.0
-5.04x + -9.06y + -6.66z <= 650.97
-3.15x + -2.21y + 5.76z <= 991.26
2.77x + -1.09y + 6.4z <= 775.09
4.44x + 5.7y + -8.5z <= 165.5
-3.7x + -9.93y + 7.23z <= 553.94
-7.75x + -8.82y + 2.09z <= 917.79
-3.87x + -0.7y + -1.86z <= 617.72
-0.65x + -4.35y + 9.88z <= 339.23
-3.3x + -8.69y + -5.95z <= 382.01
-2.99x + 3.29y + -1.04z <= 254.49
5.57x + -8.9y + 6.84z <= 397.55
2.21x + 3.63y + 3.56z <= 115.26
2.88x + -8.39y + -3.56z <= 808.75
1.04x + -0.85y + 3.22z <= 263.2
7.77x + 1.46y + 1.21z <= 821.41
-0.95x + 5.98y + -8.71z <= 218.17
-0.14x + 4.95y + -2.28z <= 804.8
2.68x + -8.61y + -1.56z <= 455.54
-1.4x + -2.45y + 3.72z <= 125.53
5.61x + -0.54y + 4.83z <= 242.6
1.15x + 2.72y + 3.3z <= 951.89
-9.19x + -5.12y + -6.11z <= 945.0
4.68x + 1.28y + -3.47z <= 906.05
8.61x + 9.04y + -1.01z <= 792.07
1.85x + 0.24y + -0.72z <= 400.81
-7.98x + -3.01y + 5.69z <= 291.61
-1.02x + 9.93y + 3.66z <= 490.75
-6.51x + -0.12y + -7.72z <= 806.58
1.75x + 3.8y + 8.13z <= 901.59
-3.36x + -5.21y + -0.18z <= 957.03
-8.66x + -3.6y + 1.22z <= 861.76
-2.68x + 8.8y + -8.88z <= 440.51
5.4x + 5.32y + 9.2z <= 380.65
-7.17x + 8.22y + 7.93z <= 234.98
-7.56x + -9.73y + -5.67z <= 519.87
-4.01x + -3.12y + -5.67z <= 860.7
-6.75x + -3.56y + -8.73z <= 144.57
1.68x + -9.62y + 5.24z <= 559.8
6.6x + 3.86y + 5.39z <= 999.87
4.37x + 3.75y + -8.88z <= 192.89
3.35x + -1.56y + 6.99z <= 164.92
-8.16x + 0.62y + -4.67z <= 350.74
3.43x + -5.49y + -3.46z <= 299.41
3.09x + 9.57y + -9.23z <= 505.78
8.5x + 6.31y + 3.68z <= 691.4
2.0x + 6.57y + -6.15z <= 977.78
8.33x + 4.68y + -9.14z <= 675.4
-8.87x + -3.64y + 8.65z <= 897.38
-1.2x + -8.91y + 0.03z <= 503.58
-8.24x + -3.98y + 1.32z <= 573.38
3.74x + 0.34y + -5.84z <= 712.23
8.26x + 8.55y + 6.75z <= 874.72
-2.88x + -3.2y + -4.7z <= 211.98
0.84x + -2.97y + 4.38z <= 457.75
-6.03x + 2.11y + 2.4z <= 214.1
-4.45x + -1.96y + 5.97z <= 668.28
-4.66x + -1.68y + 5.59z <= 672.6
-9.15x + -8.72y + -3.94z <= 940.47
2.16x + 4.17y + -6.73z <= 882.35
-0.09x + 6.26y + 5.64z <= 944.4
-2.78x + 3.85y + 8.3z <= 107.75
-3.57x + -7.51y + -3.6z <= 273.62
1.26x + -4.87y + 5.46z <= 139.54
-7.52x + -8.06y + 6.72z <= 833.52
-5.57x + 2.63y + 8.33z <= 682.62
-4.19x + 4.76y + -8.67z <= 811.5
-9.92x + 3.91y + 1.18z <= 450.17
2.24x + 8.96y + -6.68z <= 557.64
9.81x + -3.29y + 7.19z <= 728.29
8.17x + -3.48y + -4.37z <= 166.82
-9.55x + 9.79y + -1.3z <= 728.17
1.76x + 5.79y + -2.0z <= 900.12
8.3x + 2.75y + -8.88z <= 985.28
-7.51x + 9.72y + 7.3z <= 794.5
4.82x + 1.03y + 0.47z <= 117.94
-6.72x + -1.34y + 8.18z <= 891.69
5.11x + 8.39y + -6.59z <= 360.13
2.89x + -8.48y + -4.36z <= 153.41
0.77x + -6.57y + 9.21z <= 447.33
-2.99x + 6.18y + -4.17z <= 362.79
0.65x + -4.91y + -9.64z <= 531.92
8.35x + 6.94y + 8.19z <= 694.0
-3.47x + 0.2y + 6.65z <= 325.94
4.32x + -2.01y + 7.05z <= 742.14
-2.13x + 2.76y + -9.07z <= 823.09
-8.28x + -7.86y + -3.7z <= 191.54
-9.9x + 7.97y + -1.38z <= 971.11
0.16x + -0.76y + 2.91z <= 514.11
-3.51x + 5.14y + 8.64z <= 987.66
4.32x + -0.4y + 2.92z <= 523.26
-3.67x + 0.82y + -7.65z <= 280.21
2.26x + -6.66y + 3.87z <= 364.17
-6.04x + -9.31y + 8.74z <= 499.7
-0.83x + 7.15y + 6.83z <= 248.31
5.75x + -1.9y + 6.73z <= 260.83
6.44x + 3.16y + -5.39z <= 975.45
1.25x + -3.38y + -5.48z <= 485.15
-3.63x + -4.59y + -5.25z <= 780.95
-8.58x + 4.87y + 9.03z <= 635.11
-0.79x + -4.77y + -1.05z <= 502.8
2.71x + -2.78y + -4.75z <= 255.5
-8.81x + -6.25y + -2.85z <= 864.97
0.08x + -7.37y + 1.01z <= 524.26
-6.13x + -0.59y + -6.32z <= 964.65
1.12x + -7.59y + -3.47z <= 452.49
1.43x + -4.47y + -2.08z <= 386.5
9.12x + 2.08y + 3.96z <= 506.25
-2.91x + -7.88y + -4.13z <= 795.71
7.43x + 7.69y + -0.65z <= 253.46
-9.33x + -8.91y + 4.13z <= 289.06
-0.17x + 4.74y + -3.14z <= 371.03
-4.56x + 9.94y + 0.39z <= 869.66
-0.5x + -2.48y + 8.98z <= 586.42
4.5x + -7.36y + -6.1z <= 681.45
2.71x + -1.91y + 5.63z <= 296.09
-7.1x + -9.06y + 4.54z <= 272.51
3.25x + -3.38y + -8.57z <= 132.34
2.21x + -0.09y + 0.33z <= 273.83
2.87x + -2.86y + 2.62z <= 911.45
1.45x + -0.89y + -9.63z <= 874.52
-9.27x + -0.35y + 2.78z <= 802.27
3.06x + -1.67y + -3.58z <= 698.82
-0.19x + -5.34y + -1.28z <= 319.47
-9.66x + 2.28y + 8.73z <= 361.61
7.14x + -9.09y + -6.46z <= 383.83
-0.2x + 5.92y + -7.33z <= 270.63
-8.53x + 7.23y + 5.51z <= 267.38
8.92x + -6.06y + 8.9z <= 621.48
-6.51x + 9.3y + -8.65z <= 189.18
-4.55x + -9.97y + 7.87z <= 808.56
-7.5x + 2.21y + -3.87z <= 147.49
-2.48x + -6.78y + -3.52z <= 291.69
2.98x + -8.11y + 7.41z <= 581.51
1.26x + -2.08y + -5.81z <= 790.52
-1.98x + -9.51y + 2.3z <= 538.17
9.99x + -4.55y + -0.57z <= 589.4
-4.6x + -9.07y + 8.14z <= 745.56
-0.28x + -7.2y + 6.9z <= 767.98
-8.83x + -2.49y + -8.76z <= 614.33
-8.85x + -9.68y + 4.39z <= 258.94
5.42x + -4.95y + 4.47z <= 353.79
4.18x + -9.01y + -1.97z <= 519.88
6.2x + -1.39y + -7.07z <= 984.25
-0.38x + 6.32y + 2.56z <= 889.69
0.03x + 0.17y + 4.2z <= 191.28
4.68x + 8.34y + 0.42z <= 467.4
