max -7.92x + -0.77y + -8.39z
1.34x + 1.7y + -4.5z <= 846.58
6.28x + -5.97y + -0.79z <= 264.45
2.67x + -5.67y + -5.71z <= 347.52
2.45x + 3.91y + -9.42z <= 138.78
9.95x + -8.15y + 5.42z <= 520.22
1.86x + 4.9y + -6.61z <= 567.85
-8.29x + -9.15y + 4.03z <= 734.68
9.54x + -9.09y + 8.24z <= 545.06
-8.2x + -7.57y + -3.52z <= 499.92
1.49x + 7.74y + -9.29z <= 871.98
-7.21x + 3.57y + 1.16z <= 881.32
-0.08x + 7.73y + 6.73z <= 761.38
-1.68x + 7.17y + -5.11z <= 416.35
-9.42x + -7.56y + -0.9z <= 730.93
3.41x + -3.05y + 8.18z <= 608.77
9.41x + -6.44y + -4.85z <= 600.51
-1.91x + 3.64y + 7.43z <= 213.82
2.77x + 6.66y + -1.47z <= 608.46
1.48x + -6.85y + -8.86z <= 950.07
-1.99x + 3.1y + -5.03z <= 151.67
-0.06x + -5.4y + 9.63z <= 358.42
6.84x + -3.26y + -7.87z <= 362.79
-4.68x + 9.49y + -4.4z <= 120.12
-0.44x + -0.94y + 4.24z <= 168.81
3.13x + -4.58y + 8.5z <= 368.23
-2.6x + -2.23y + -5.34z <= 148.02
-2.32x + -0.97y + 4.06z <= 641.82
-2.31x + -0.87y + 0.33z <= 871.08
-0.18x + 9.18y + 6.33z <= 640.72
9.35x + -7.78y + 0.58z <= 845.96
-5.15x + -4.37y + -6.49z <= 380.0
-3.9x + 4.73y + -0.98z <= 318.54
-7.95x + -7.43y + -8.75z <= 664.66
9.8x + -4.1y + 0.77z <= 562.98
-3.93x + 0.84y + -4.26z <= 390.86
-8.42x + 9.25y + 5.06z <= 709.66
3.27x + 2.42y + 5.69z <= 347.4
8.28x + -7.91y + -9.38z <= 353.32
1.87x + 2.08y + 9.67z <= 274.52
-2.13x + -2.79y + -0.65z <= 714.11
3.67x + -2.31y + -4.62z <= 823.33
9.23x + 9.07y + -7.29z <= 993.22
7.26x + 5.21y + -0.31z <= 771.62
-2.68x + 3.82y + -0.86z <= 752.57
-9.65x + 6.27y + -5.38z <= 878.2
-0.48x + -8.39y + -2.75z <= 978.22
-6.49x + -6.14y + -1.91z <= 965.48
-9.15x + 8.26y + -9.52z <= 808.85
-8.77x + -6.85y + 3.88z <= 893.4
7.54x + -2.87y + 8.36z <= 542.6
4.29x + 5.83y + 5.44z <= 319.43
-4.18x + 8.15y + 1.31z <= 757.25
9.46x + 8.09y + -1.09z <= 735.3
-6.52x + 3.05y + 9.95z <= 851.14
3.4x + 5.99y + -5.9z <= 198.09
3.64x + -6.25y + -9.4z <= 724.63
7.12x + 5.08y + -7.12z <= 513.69
7.53x + -2.79y + -9.84z <= 528.43
-9.64x + 7.81y + -0.6z <= 611.17
9.18x + 0.49y + 7.9z <= 430.36
-5.09x + -1.02y + -3.35z <= 914.13
-1.6x + 9.08y + -0.05z <= 216.92
6.29x + -3.03y + -2.84z <= 133.46
-4.39x + 8.18y + -2.15z <= 971.95
8.27x + -4.92y + 8.5z <= 552.37
6.69x + 3.38y + -1.71z <= 110.34
-8.08x + -0.94y + -1.15z <= 447.01
-4.58x + 7.65y + 4.34z <= 777.17
-7.16x + 1.2y + 3.49z <= 232.76
7.49x + -6.53y + 8.85z <= 724.78
-6.91x + -2.83y + 6.12z <= 860.59
-9.53x + -4.21y + 5.06z <= 589.75
-5.71x + -1.07y + 2.79z <= 141.07
-8.63x + -1.57y + -1.48z <= 633.07
2.9x + 7.12y + -8.11z <= 650.38
1.51x + -6.21y + -5.01z <= 179.08
-1.51x + 1.75y + -8.43z <= 392.33
4.38x + 9.32y + 4.74z <= 933.68
1.33x + 4.32y + 8.89z <= 633.5
-0.98x + -0.75y + -9.41z <= 711.06
-8.47x + 0.88y + -0.82z <= 960.95
-8.71x + -0.9y + -4.34z <= 996.6
3.34x + 7.34y + 6.09z <= 353.57
1.15x + 1.84y + -6.85z <= 928.77
-7.65x + -7.23y + -7.4z <= 242.76
4.63x + -1.58y + -4.3z <= 290.25
-2.72x + -8.78y + -1.06z <= 142.94
9.34x + -0.41y + -1.7z <= 712.41
3.85x + -9.23y + -0.27z <= 788.4
-7.11x + -3.19y + -0.69z <= 193.88
-1.48x + -2.36y + -6.27z <= 665.04
-6.25x + -7.2y + -9.08z <= 888.25
-3.35x + 8.9y + -8.36z <= 945.68
-7.35x + 8.33y + -4.55z <= 891.33
6.79x + 4.53y + -6.38z <= 362.11
1.48x + -5.9y + -2.74z <= 951.53
-4.89x + 7.11y + -8.55z <= 293.4
4.48x + -8.67y + -2.08z <= 592.31
7.56x + -0.52y + -5.38z <= 320.07
-8.33x + -9.58y + -2.37z <= 836.91
-9.65x + -5.06y + -7.15z <= 967.03
-7.17x + 7.1y + 9.76z <= 315.74
3.87x + 9.12y + 0.89z <= 711.89
-0.45x + 5.98y + 6.82z <= 323.3
8.37x + -7.31y + -3.94z <= 968.2
-4.6x + -5.4y + 2.0z <= 690.93
-8.62x + 9.87y + 0.07z <= 552.68
0.8x + -3.64y + 0.57z <= 989.67
3.72x + 4.75y + -4.9z <= 264.16
8.74x + 5.05y + 5.9z <= 355.83
-0.64x + -1.47y + -4.91z <= 380.71
-1.64x + -0.38y + -6.97z <= 490.09
1.59x + -3.31y + -6.08z <= 917.56
4.22x + -5.99y + -8.99z <= 964.25
8.19x + -8.73y + -4.77z <= 804.1
8.88x + -1.73y + -3.24z <= 780.63
-6.35x + -0.33y + 6.39z <= 995.47
1.26x + 2.22y + -6.93z <= 789.08
-2.91x + 3.34y + 6.75z <= 127.84
-5.45x + -6.77y + -1.39z <= 178.48
-9.86x + -3.11y + -4.6z <= 250.05
8.83x + -3.4y + -6.77z <= 822.5
-5.1x + -2.0y + 5.61z <= 884.97
1.06x + -3.07y + 7.03z <= 894.22
-5.1x + 2.98y + 9.01z <= 481.56
9.56x + 2.04y + 3.99z <= 157.09
6.66x + 4.54y + 0.09z <= 799.83
-7.59x + 6.59y + -5.42z <= 893.94
-2.75x + 7.83y + 7.22z <= 264.81
-9.77x + 2.36y + 3.15z <= 778.8
0.21x + -7.31y + 5.54z <= 615.68
2.4x + 8.65y + -0.62z <= 756.24
-2.78x + -4.29y + -6.84z <= 940.58
3.72x + 6.87y + -3.93z <= 783.98
4.27x + 4.21y + -1.95z <= 474.04
-7.63x + 7.99y + -2.86z <= 301.4
0.07x + -3.02y + 3.78z <= 716.19
-7.66x + 9.12y + 2.85z <= 480.99
-0.33x + -3.09y + -8.94z <= 686.43
7.39x + 7.35y + 9.92z <= 770.45
7.38x + 9.84y + 6.91z <= 177.28
2.83x + -3.73y + 8.15z <= 680.55
-1.97x + -6.65y + -5.28z <= 739.27
4.57x + 8.41y + 0.03z <= 473.75
-0.96x + -4.8y + 3.78z <= 870.33
-7.72x + -8.98y + -0.01z <= 337.35
-4.72x + 0.73y + 6.09z <= 795.67
1.56x + -9.91y + 5.75z <= 168.07
3.27x + 3.28y + 1.21z <= 812.31
1.09x + -7.77y + 9.17z <= 487.82
-3.91x + 3.85y + -2.25z <= 603.74
-2.8x + 3.23y + -7.59z <= 824.66
9.08x + 5.85y + 7.9z <= 887.88
4.12x + 9.29y + -8.32z <= 526.52
-0.13x + -9.98y + -6.6z <= 234.44
9.09x + 0.06y + -2.52z <= 640.3
-1.91x + 7.25y + 7.29z <= 350.94
-8.36x + -6.9y + -3.24z <= 269.05
-5.16x + -6.44y + -5.86z <= 415.28
1.17x + 3.56y + -3.56z <= 385.95
-2.8x + -5.89y + -4.27z <= 447.65
6.95x + 4.35y + -6.36z <= 730.35
-6.84x + -3.52y + 2.16z <= 899.5
-7.85x + 3.64y + -9.02z <= 301.28
1.29x + 5.54y + -8.9z <= 809.3
-6.3x + -6.06y + -9.31z <= 982.45
-2.48x + 3.91y + -4.17z <= 663.27
-6.24x + -4.59y + 9.81z <= 168.18
0.29x + 3.94y + -0.87z <= 471.98
9.88x + -8.32y + 6.24z <= 638.72
1.0x + -8.21y + -1.67z <= 553.48
4.56x + -4.71y + 6.41z <= 145.8
-0.13x + 1.73y + -9.84z <= 138.82
-7.82x + -5.21y + 8.52z <= 532.92
-5.67x + -4.62y + 6.56z <= 727.54
3.43x + -2.8y + 8.16z <= 341.66
7.71x + 4.54y + -3.77z <= 138.68
-4.1x + -8.46y + -8.87z <= 296.44
3.99x + -3.1y + 5.87z <= 716.83
2.51x + 9.32y + 1.28z <= 551.27
3.84x + 3.95y + 4.85z <= 973.66
1.9x + -8.3y + -5.61z <= 956.99
5.1x + 2.21y + 0.27z <= 186.29
-0.38x + -1.72y + 1.58z <= 869.23
-6.87x + 6.37y + 4.97z <= 774.61
0.46x + -4.13y + -6.78z <= 333.36
7.11x + -7.06y + -9.25z <= 197.51
4.75x + 3.69y + 2.76z <= 786.8
-1.89x + -8.61y + -5.83z <= 333.96
-9.95x + 8.98y + 7.87z <= 535.11
-1.63x + 6.03y + -4.16z <= 493.34
-2.36x + 9.42y + 1.54z <= 780.73
1.89x + -6.66y + 6.33z <= 239.18
7.0x + -5.93y + 8.54z <= 870.83
4.84x + 0.72y + 6.95z <= 549.69
-3.09x + -2.85y + -7.4z <= 148.78
0.6x + -6.54y + -0.81z <= 381.85
-6.99x + 4.2y + 6.7z <= 621.16
7.09x + 8.09y + -7.09z <= 895.51
-8.99x + 5.82y + 0.79z <= 655.08
-4.94x + 8.08y + -4.2z <= 516.55
-1.79x + -7.43y + 9.19z <= 505.44
3.26x + -5.74y + -7.06z <= 483.58
-9.87x + 1.85y + 2.07z <= 573.05
2.66x + 6.72y + -2.18z <= 307.94
5.21x + 6.21y + -2.65z <= 496.94
0.55x + 8.8y + -6.47z <= 554.1
6.22x + -6.0y + 7.29z <= 295.39
9.63x + 3.48y + -5.24z <= 166.89
-7.84x + -2.28y + 0.42z <= 188.89
-5.18x + 2.16y + 7.76z <= 390.57
-3.86x + -5.68y + 0.34z <= 293.91
-4.45x + 1.04y + 1.04z <= 639.16
0.07x + 0.9y + -5.5z <= 175.26
-5.34x + 5.43y + -9.11z <= 619.83
9.58x + -9.78y + 4.41z <= 633.49
-6.16x + -0.77y + -7.07z <= 124.96
-7.77x + 6.95y + -7.47z <= 247.98
0.49x + -6.09y + -6.93z <= 511.54
0.95x + -9.98y + -4.86z <= 521.06
-9.47x + -4.43y + 1.11z <= 843.85
-1.57x + -3.26y + -8.22z <= 106.76
7.23x + 7.04y + 0.94z <= 751.94
0.63x + -8.01y + -4.47z <= 385.47
-0.31x + 7.63y + 5.7z <= 964.62
6.47x + 6.16y + -2.92z <= 455.05
0.89x + -7.04y + 1.37z <= 608.1
-7.62x + -4.38y + -5.48z <= 303.65
1.44x + -8.81y + -9.44z <= 915.74
-5.6x + 1.93y + -1.77z <= 208.26
4.26x + -8.03y + 1.97z <= 520.28
3.66x + 8.89y + -1.48z <= 276.26
6.0x + 4.01y + -7.24z <= 197.1
-0.35x + -0.42y + -7.14z <= 568.95
1.08x + -0.49y + 1.34z <= 941.27
-5.84x + 1.54y + 1.37z <= 770.23
-2.57x + 5.62y + -8.24z <= 447.11
-0.09x + 3.62y + 0.73z <= 151.25
9.89x + -5.83y + -2.69z <= 460.95
-2.61x + -4.98y + -3.49z <= 989.51
-8.56x + -8.98y + -4.02z <= 896.39
2.31x + -0.03y + 4.89z <= 869.23
6.82x + 5.14y + 2.46z <= 102.56
1.59x + 6.15y + 3.84z <= 300.68
7.73x + 8.8y + -0.73z <= 731.36
-4.25x + -7.49y + -2.58z <= 485.9
6.59x + -0.47y + 6.02z <= 979.43
1.17x + -4.71y + -6.18z <= 645.61
0.17x + 1.68y + -0.12z <= 440.7
-7.44x + -0.09y + -3.21z <= 908.86
8.8x + 2.9y + -2.43z <= 600.69
0.48x + -5.22y + -0.67z <= 742.51
-6.04x + 2.66y + -8.26z <= 157.33
-8.21x + -7.62y + -5.56z <= 180.77
2.44x + 9.84y + 4.19z <= 716.45
6.28x + -7.3y + 7.08z <= 982.6
0.46x + 1.92y + -0.51z <= 641.41
1.92x + 8.66y + 2.91z <= 285.03
-2.04x + -0.44y + 5.51z <= 934.62
-0.67x + -9.02y + 5.34z <= 326.67
-9.64x + -2.75y + 4.22z <= 826.9
-7.4x + -2.9y + -7.49z <= 404.83
7.54x + -5.65y + -0.17z <= 586.08
5.77x + 6.35y + -6.58z <= 458.3
-7.95x + -8.6y + -5.38z <= 688.47
4.8x + -8.64y + -1.79z <= 564.0
5.56x + 6.61y + 4.12z <= 936.02
6.48x + -6.82y + -3.54z <= 668.37
4.04x + 8.25y + -9.39z <= 505.4
9.12x + 8.28y + -2.42z <= 855.89
-2.24x + 1.28y + -9.96z <= 597.94
-4.12x + 9.01y + -5.98z <= 982.95
6.54x + 0.18y + 8.09z <= 294.98
4.93x + 1.42y + -5.71z <= 616.47
0.28x + 8.57y + 1.72z <= 502.99
3.09x + -1.0y + -7.24z <= 533.25
7.15x + -6.48y + 3.22z <= 314.23
4.47x + 8.78y + 5.12z <= 773.16
-9.25x + 5.76y + -3.13z <= 219.61
-1.69x + -9.08y + 8.63z <= 411.28
-1.65x + -3.58y + -0.96z <= 605.12
5.51x + 6.58y + 7.4z <= 810.16
-0.85x + 3.89y + -3.85z <= 666.06
-1.06x + 4.76y + 5.42z <= 452.2
3.34x + -5.41y + -1.37z <= 244.85
8.83x + -9.97y + -7.05z <= 955.33
-8.52x + 2.84y + -0.48z <= 477.59
8.02x + -8.24y + -9.4z <= 962.63
7.72x + 2.53y + -7.5z <= 589.1
-9.8x + -2.85y + 3.56z <= 938.93
-6.71x + -9.46y + -2.41z <= 365.42
1.15x + 3.63y + -6.58z <= 641.82
-1.3x + -5.58y + 6.32z <= 198.8
8.98x + -3.05y + -6.27z <= 726.06
-1.3x + -8.22y + 2.15z <= 863.86
-2.38x + -9.62y + 4.73z <= 266.88
-2.13x + -9.69y + -1.1z <= 818.26
7.25x + 5.9y + -8.61z <= 241.31
-3.05x + -9.66y + 9.26z <= 738.3
6.25x + -9.69y + -5.1z <= 495.91
-7.5x + 8.63y + -2.04z <= 224.36
9.27x + -6.41y + -9.9z <= 621.01
1.16x + -2.14y + -1.05z <= 652.44
5.56x + 4.2y + 7.77z <= 709.21
-7.41x + 2.03y + 8.69z <= 570.77
-5.7x + -9.01y + 7.42z <= 856.86
-5.27x + -3.54y + 3.04z <= 539.73
0.72x + -7.01y + -6.29z <= 246.46
-1.59x + -3.2y + 0.5z <= 414.31
-0.23x + 4.93y + 6.84z <= 101.66
-6.77x + -4.21y + -5.37z <= 565.92
9.81x + 6.03y + 5.67z <= 852.17
-2.38x + -5.33y + 5.46z <= 484.93
-5.17x + -2.32y + -6.16z <= 386.28
-4.54x + -2.44y + -4.36z <= 380.55
6.8x + -9.01y + 2.54z <= 215.0
4.0x + -7.58y + -4.98z <= 359.45
4.77x + -3.56y + -0.81z <= 207.75
-5.51x + -9.98y + -9.82z <= 653.35
-9.24x + 5.74y + 3.84z <= 107.54
-8.07x + -5.27y + -1.21z <= 482.13
-4.13x + -4.8y + 6.44z <= 701.69
2.76x + 9.13y + -8.0z <= 995.54
-3.06x + 3.82y + -5.43z <= 239.25
1.7x + 5.59y + 1.47z <= 603.19
4.31x + -5.56y + 2.01z <= 983.2
8.3x + 1.4y + -5.48z <= 935.94
-7.35x + -6.09y + -1.38z <= 775.99
1.0x + 5.01y + -9.58z <= 107.47
-4.06x + 3.82y + 8.59z <= 748.26
7.17x + 5.63y + -2.95z <= 126.65
-9.88x + 9.17y + 0.22z <= 880.42
-5.73x + 0.42y + 5.32z <= 514.66
4.17x + 1.14y + -7.97z <= 816.05
-1.25x + -6.25y + 4.47z <= 743.85
-0.51x + -8.49y + -7.77z <= 366.9
2.59x + 6.91y + -7.08z <= 265.58
-8.96x + -9.93y + -8.9z <= 297.43
9.04x + 5.22y + -0.86z <= 609.32
6.2x + -9.88y + -3.14z <= 915.92
-9.9x + 2.6y + 0.32z <= 742.97
-3.18x + 4.36y + 5.31z <= 306.72
4.17x + 5.31y + -0.68z <= 372.74
1.49x + 3.1y + -3.18z <= 422.01
3.88x + 2.36y + 6.24z <= 808.17
3.08x + -4.28y + 7.81z <= 427.65
-3.67x + 8.71y + -7.69z <= 584.8
6.62x + -0.93y + 8.0z <= 199.34
3.53x + 3.16y + -0.28z <= 822.76
-2.97x + -8.72y + -0.67z <= 154.76
-6.77x + -7.74y + 7.68z <= 563.53
8.12x + -0.24y + -0.4z <= 901.66
8.21x + -0.99y + 5.52z <= 149.06
1.46x + -5.93y + 7.5z <= 148.25
1.9x + 3.24y + -3.71z <= 573.58
5.93x + -1.74y + 9.77z <= 805.08
-7.67x + -4.87y + 7.39z <= 161.83
0.54x + -7.1y + 0.01z <= 615.34
-6.94x + 4.1y + -7.95z <= 450.46
-9.89x + 6.99y + 4.65z <= 360.6
3.38x + -0.74y + -6.53z <= 645.29
-9.05x + 5.72y + 5.34z <= 810.0
6.34x + 4.98y + -0.19z <= 403.72
7.88x + -5.18y + 4.28z <= 589.32
-8.21x + -3.41y + -1.96z <= 579.59
-3.28x + -0.22y + -3.26z <= 447.1
3.09x + 6.44y + -2.1z <= 194.2
2.93x + 1.65y + -9.39z <= 397.98
4.46x + 2.82y + -0.16z <= 234.32
4.61x + -5.44y + 7.13z <= 650.18
1.64x + -1.33y + -2.72z <= 848.31
-1.66x + -5.04y + 3.16z <= 863.59
-7.39x + 2.78y + 8.8z <= 497.57
3.59x + -9.27y + 4.64z <= 116.73
-0.62x + -1.08y + -7.86z <= 891.54
6.42x + -0.63y + -8.87z <= 379.49
4.89x + -7.89y + -9.94z <= 622.43
-8.01x + -2.23y + 9.13z <= 211.67
5.06x + 5.62y + 7.11z <= 944.78
5.49x + -1.35y + 6.85z <= 935.69
9.96x + -8.09y + 6.1z <= 959.45
-9.41x + -8.46y + -4.29z <= 844.61
-4.6x + -6.1y + 4.17z <= 264.4
-2.8x + -5.41y + -2.25z <= 976.93
-6.9x + 1.85y + -6.31z <= 181.1
-7.65x + 9.6y + -5.3z <= 500.92
9.73x + 4.26y + -7.68z <= 967.13
2.5x + -5.32y + -3.89z <= 996.47
4.92x + 5.71y + -9.03z <= 921.13
-0.07x + 5.84y + -4.56z <= 113.4
-2.91x + 0.69y + 9.57z <= 709.23
-0.5x + 2.92y + 4.79z <= 401.87
2.77x + -8.47y + -8.17z <= 533.07
-4.89x + 4.55y + -2.43z <= 807.7
4.91x + 1.3y + -4.81z <= 995.74
0.99x + -1.15y + 3.04z <= 152.77
-0.71x + -5.65y + -2.31z <= 417.78
7.03x + 3.72y + 8.16z <= 494.95
-2.99x + -8.34y + 7.9z <= 468.93
-2.22x + -6.48y + 5.33z <= 683.09
0.83x + 0.13y + 7.61z <= 517.43
8.32x + -0.74y + 6.45z <= 119.57
8.06x + 3.28y + -3.17z <= 448.66
-6.87x + 1.52y + -6.14z <= 994.02
-2.36x + 0.03y + 1.56z <= 705.12
-9.22x + 0.87y + 2.75z <= 806.54
7.76x + 8.41y + -4.05z <= 699.83
9.33x + 8.02y + -4.15z <= 973.34
4.26x + -3.05y + -7.17z <= 897.01
-3.01x + -7.9y + -5.96z <= 564.71
5.33x + 9.72y + -5.62z <= 515.26
-6.35x + 5.01y + -2.66z <= 358.56
-6.24x + -6.81y + -0.89z <= 855.27
5.15x + -7.66y + 1.0z <= 409.47
-4.53x + -5.4y + -7.97z <= 861.53
3.64x + -7.29y + -2.26z <= 445.75
-7.73x + 1.12y + -3.82z <= 391.43
6.94x + -5.51y + 2.94z <= 103.29
-4.93x + 2.93y + -4.4z <= 961.54
-8.39x + 8.52y + 8.7z <= 798.21
9.61x + 5.46y + -0.87z <= 791.52
-5.84x + -8.78y + -8.75z <= 705.81
-3.64x + 3.6y + -9.75z <= 221.6
-8.02x + -2.22y + 2.27z <= 377.89
-8.18x + 8.73y + 3.19z <= 433.74
3.19x + 6.01y + -8.01z <= 268.5
8.78x + 8.31y + 1.09z <= 333.28
5.28x + 7.71y + -1.86z <= 837.85
6.18x + -4.65y + -4.33z <= 238.65
1.9x + 7.4y + -0.7z <= 698.16
-0.79x + 8.38y + -2.22z <= 251.97
-7.08x + 5.96y + -5.16z <= 486.26
5.38x + -1.4y + -3.18z <= 384.38
-0.05x + -2.59y + -4.38z <= 527.74
7.63x + 4.12y + 9.1z <= 419.71
-4.18x + -9.27y + -6.58z <= 188.55
-8.6x + 4.47y + -2.57z <= 809.83
-0.4x + -1.37y + 3.26z <= 596.58
-9.65x + 2.31y + 8.19z <= 750.05
-6.09x + 8.23y + 7.0z <= 132.34
3.24x + -4.56y + -6.31z <= 303.51
-5.17x + -8.92y + -2.0z <= 159.02
-7.42x + -5.05y + 1.77z <= 734.91
1.59x + 8.92y + 1.35z <= 991.79
0.22x + 8.54y + -5.49z <= 533.78
-4.36x + -7.81y + 6.27z <= 120.4
1.02x + 3.81y + -8.23z <= 942.07
5.75x + -3.45y + -0.64z <= 239.21
0.03x + -9.85y + 1.84z <= 914.15
-3.82x + 5.65y + 7.15z <= 364.06
5.25x + -2.11y + -1.35z <= 661.48
-8.38x + -3.11y + 5.52z <= 564.72
1.32x + -8.84y + -3.16z <= 527.68
-9.91x + 1.66y + 4.56z <= 476.7
8.73x + -9.13y + 1.44z <= 819.73
-2.5x + -8.17y + 8.57z <= 577.57
-2.36x + -2.66y + -4.85z <= 276.93
-6.01x + -8.04y + 4.92z <= 612.69
0.46x + -6.53y + -9.75z <= 324.85
-0.61x + -2.64y + 6.67z <= 800.23
4.98x + 4.5y + -0.69z <= 976.39
-7.8x + 2.01y + 5.92z <= 381.97
8.41x + 9.09y + -8.61z <= 758.83
-9.58x + 5.76y + -0.54z <= 342.29
-2.08x + 6.31y + -0.31z <= 893.02
3.79x + 4.21y + -9.28z <= 962.01
3.99x + 3.54y + -8.45z <= 522.02
7.95x + 6.67y + -8.69z <= 431.52
8.43x + 4.18y + -3.97z <= 760.68
2.99x + -1.64y + -9.59z <= 655.41
-1.37x + -3.69y + -2.53z <= 928.72
0.53x + -3.54y + -6.7z <= 255.74
4.15x + 5.24y + 6.04z <= 932.22
1.67x + -9.48y + -3.14z <= 685.29
2.42x + -3.49y + -0.52z <= 398.93
6.07x + 0.54y + -0.68z <= 418.06
9.52x + -7.8y + -1.41z <= 961.14
0.32x + 4.06y + 4.28z <= 215.14
4.74x + 0.63y + -2.42z <= 844.62
1.69x + 6.35y + -0.04z <= 671.65
-0.14x + 1.04y + 8.88z <= 605.98
-4.5x + 7.6y + -3.45z <= 132.7
-5.31x + 5.56y + -1.55z <= 708.26
-4.79x + -2.75y + -7.89z <= 440.03
-3.49x + -4.24y + -8.15z <= 606.49
0.65x + 5.63y + -7.86z <= 896.94
6.27x + -7.63y + 4.79z <= 293.01
-8.82x + 3.98y + -7.85z <= 417.08
-4.26x + -2.2y + -9.42z <= 477.55
3.21x + 9.48y + 8.11z <= 614.34
-7.61x + 6.59y + -6.7z <= 418.49
1.86x + -6.13y + 5.56z <= 914.97
5.63x + -0.63y + -9.14z <= 162.68
3.16x + 6.78y + 9.93z <= 724.36
5.36x + -1.24y + -1.45z <= 756.49
9.84x + 3.32y + 2.12z <= 238.62
7.16x + -3.58y + -1.51z <= 275.89
2.22x + 3.53y + 2.91z <= 667.48
4.55x + -0.19y + -1.7z <= 328.49
-9.17x + 8.53y + -2.87z <= 169.78
-8.52x + 2.97y + -9.41z <= 187.47
0.12x + 4.39y + 0.35z <= 828.1
3.65x + -0.79y + -2.59z <= 590.79
-1.19x + 0.39y + 6.37z <= 802.95
-5.84x + 9.59y + 2.15z <= 760.74
6.03x + -8.79y + 6.96z <= 946.75
-2.34x + 1.1y + 2.45z <= 972.62
-8.9x + -4.32y + 1.21z <= 855.78
8.47x + 0.73y + 9.99z <= 545.2
0.94x + 2.7y + -9.9z <= 573.08
-3.39x + -4.22y + -7.7z <= 486.64
5.97x + -9.06y + -3.64z <= 618.67
-8.84x + 3.06y + 1.38z <= 599.14
6.1x + 2.09y + 2.25z <= 330.66
-7.9x + 8.46y + 9.57z <= 968.24
7.16x + -6.94y + -9.88z <= 792.29
0.63x + -2.94y + -8.79z <= 786.44
9.35x + -4.2y + 5.65z <= 282.28
-7.69x + 7.5y + 5.93z <= 123.53
4.41x + 0.84y + 1.18z <= 304.27
-6.5x + -9.82y + -8.83z <= 201.09
5.22x + -5.78y + -3.41z <= 489.29
-5.22x + 4.94y + 8.67z <= 570.87
9.25x + -7.68y + 4.59z <= 926.05
3.23x + 7.24y + 5.29z <= 588.34
8.73x + 8.03y + 7.42z <= 436.28
-5.89x + -2.72y + -8.23z <= 261.81
5.83x + 8.02y + -2.3z <= 663.45
-6.71x + -4.74y + 6.59z <= 562.5
-3.68x + 5.78y + -6.64z <= 206.9
-5.69x + -2.52y + -6.52z <= 586.44
-0.63x + -9.54y + -0.35z <= 291.1
3.79x + 0.42y + -4.37z <= 901.81
2.92x + 0.98y + -8.18z <= 555.27
9.05x + -2.12y + 1.06z <= 597.45
2.31x + 6.15y + -5.41z <= 327.77
4.77x + -0.1y + 9.86z <= 303.47
-3.77x + -8.28y + -4.05z <= 800.98
-3.03x + 1.93y + -2.27z <= 702.89
6.59x + 6.59y + 6.31z <= 846.89
-3.83x + 9.07y + -2.49z <= 805.15
-4.8x + 8.3y + -4.71z <= 528.94
-6.43x + 1.24y + -1.59z <= 401.97
-0.52x + -8.05y + 9.86z <= 598.26
1.38x + 4.68y + 7.3z <= 398.89
-5.31x + 1.73y + 2.15z <= 584.96
2.91x + 5.96y + -0.53z <= 730.81
1.06x + 6.4y + -2.38z <= 691.47
1.24x + -4.68y + -6.33z <= 102.51
-7.7x + 8.69y + -7.76z <= 588.08
7.57x + 9.75y + -8.39z <= 861.41
-3.01x + 8.97y + -8.55z <= 331.02
1.57x + 4.06y + 5.01z <= 145.19
2.86x + 6.72y + 5.7z <= 222.86
-3.86x + -4.42y + -7.1z <= 463.6
5.88x + 5.51y + -3.53z <= 465.63
-0.57x + -7.94y + -0.09z <= 205.55
-3.0x + -6.61y + 3.97z <= 786.41
2.45x + -8.91y + 3.6z <= 747.19
-9.13x + -6.57y + 8.11z <= 825.0
0.07x + 9.83y + -6.62z <= 273.23
7.91x + 7.13y + 7.95z <= 104.53
-9.5x + -2.55y + -1.59z <= 159.88
1.52x + -0.58y + -7.61z <= 321.41
-3.99x + -4.41y + 5.63z <= 990.12
-9.3x + -6.09y + 9.51z <= 285.79
1.11x + -8.91y + -7.72z <= 581.66
-1.68x + 5.95y + -7.66z <= 423.4
8.45x + -6.91y + 8.92z <= 256.9
5.43x + 1.36y + -2.57z <= 893.73
-1.55x + 9.32y + 6.16z <= 493.94
-1.86x + 2.02y + 7.12z <= 754.38
0.64x + 9.62y + -4.18z <= 747.55
5.78x + -7.45y + 6.0z <= 608.27
-3.19x + 8.62y + -7.74z <= 801.26
2.31x + -9.19y + 5.45z <= 876.42
3.43x + -2.38y + 1.61z <= 256.44
-0.84x + -8.2y + -6.48z <= 886.59
-7.05x + -4.04y + -8.94z <= 129.13
5.85x + 4.39y + -4.52z <= 740.45
7.41x + 2.93y + 0.77z <= 669.59
-6.7x + 8.51y + 8.14z <= 823.31
7.22x + 7.22y + -5.43z <= 933.38
8.38x + -4.98y + -3.67z <= 272.46
0.22x + 5.59y + 6.85z <= 660.13
3.09x + 7.56y + 7.24z <= 463.45
-1.29x + 3.49y + -3.35z <= 562.87
-6.93x + 6.58y + -2.04z <= 915.71
-2.13x + -9.21y + 3.93z <= 877.18
9.92x + -1.19y + 8.69z <= 940.0
-8.61x + 7.18y + 3.84z <= 381.28
9.56x + -1.52y + -0.04z <= 100.35
0.01x + 5.18y + -5.02z <= 920.47
-0.35x + -7.12y + -9.73z <= 112.51
4.73x + 2.86y + 9.16z <= 661.93
